category,name,address,lat,lng,url
restaurant,기가스,서울 중구 퇴계로6가길 30,37.55697639,126.9781213,
restaurant,구찌 오스테리아 서울,서울 용산구 이태원로 223,37.53546562,126.9985343,
restaurant,한국의집,서울 중구 퇴계로36길 10,37.5602235,126.9944983,
restaurant,하동관 명동본점,서울 중구 명동9길 12,37.56443367,126.985031,
restaurant,품서울,서울 강남구 삼성로126길 6,37.51754024,127.0516702,
restaurant,정식당,서울 강남구 선릉로158길 11,37.52565829,127.0410811,
restaurant,이타닉 가든,서울 강남구 테헤란로 231,37.50288135,127.0413565,
restaurant,을밀대 본점,서울 마포구 숭문길 24,37.54749267,126.9455317,
restaurant,윤서울,서울 강남구 선릉로 805,37.5241263,127.0389822,
restaurant,우래옥 본점,서울 중구 창경궁로 62-29,37.56821852,126.9987145,
restaurant,용수산 비원점,서울 종로구 창덕궁1길 2,37.57944506,126.989199,
restaurant,온지음,서울 종로구 효자로 49,37.58049411,126.9733915,
restaurant,스와니예,서울 강남구 강남대로 652,37.5195659,127.019091,
restaurant,솔밤,서울 강남구 학동로 231,37.51549276,127.0341901,
restaurant,세븐스도어,서울 강남구 학동로97길 41,37.52240897,127.0543136,
restaurant,시그니엘서울 비채나,서울 송파구 올림픽로 300,37.51371299,127.1043018,
restaurant,봉우리 역삼본점,서울 강남구 논현로94길 25-3,37.50304101,127.0381464,
restaurant,밍글스,서울 강남구 도산대로67길 19,37.5253703,127.04416,
restaurant,레스토랑주은,서울 종로구 경희궁길 36,37.57291991,126.9700632,
restaurant,서울신라호텔 라연,서울 중구 동호로 249,37.55750551,127.0079529,
restaurant,남포면옥,서울 중구 을지로3길 24,37.56714637,126.981676,
restaurant,꽃밥에피다,서울 종로구 인사동16길 3-6,37.57527576,126.9840151,
restaurant,권숙수,서울 강남구 압구정로80길 37,37.52437563,127.0435776,
culture,1유로프로젝트 북가좌,서울 서대문구 응암로 118 (북가좌동),37.58293188,126.9138623,
culture,식물관PH,서울 강남구 광평로34길 24 1층 (수서동),37.4826381,127.0943314,
culture,파네시마복합문화공간,경기 용인시 기흥구 탑실로35번길 59 (공세동),37.24411589,127.111823,
culture,차차티클럽 창신한옥,서울 종로구 종로46가길 13 (창신동),37.57108387,127.0113659,
culture,레퍼토리 성수,서울 성동구 연무장길 49 나동 1층 3호 (성수동2가),37.54280159,127.0549152,
culture,피킹플레저,서울 성동구 왕십리로14길 19-7 1층 (성수동1가),37.54886985,127.0459916,
culture,포인트투파이브세컨드 성수 하우스,서울 성동구 왕십리로14길 20 (성수동1가),37.54856125,127.045777,
culture,아르코예술극장,서울 종로구 대학로8길 7 (동숭동),37.58118552,127.0029999,
culture,산노루 삼성점,서울 강남구 삼성로122길 35 1층 (삼성동),37.51878271,127.0550903,
culture,로코하우스,서울 강남구 테헤란로108길 8 1층 (대치동),37.50881211,127.0656735,
culture,골든구스 서울 유니크,서울 강남구 도산대로45길 8 1층 (신사동),37.52288302,127.0358323,
culture,웨이스트스토어,서울 강남구 도산대로45길 16-6 2층 (신사동),37.52338956,127.0358371,
culture,라운지 클라리멘토,서울 마포구 잔다리로7안길 18 두비스빌딩 1층,37.5523849,126.9167617,
culture,꿈의숲아트센터 콘서트홀,서울 강북구 월계로 173 (번동),37.62025446,127.0443247,
culture,상상톡톡미술관,서울 강북구 월계로 173 (번동),37.62025446,127.0443247,
culture,그라운드서울,서울 종로구 인사동9길 26 (견지동),37.57342884,126.9836293,
culture,피크닉,서울 중구 퇴계로6가길 30 (남창동),37.55697639,126.9781213,
culture,덕수궁,서울 중구 세종대로 99 (정동),37.56608683,126.9737258,
culture,종묘,서울 종로구 종로 157 (훈정동),37.5731338,126.9948635,
culture,창덕궁,서울 종로구 율곡로 99 (와룡동),37.57886973,126.9897103,
culture,알맹상점,서울 마포구 월드컵로25길 47 한흥빌딩 3층 (망원동),37.55783058,126.9051353,
culture,온유어마크 경복궁,서울 종로구 자하문로6길 14 (통의동),37.57802039,126.972828,
culture,보틀라운지,서울 서대문구 홍연길 26 1층 (연희동),37.57518282,126.9284745,
culture,알리멘따리 꼰떼,서울 종로구 창의문로 133 101호 (부암동),37.5923746,126.9657089,
culture,보마켓 서울숲점,서울 성동구 왕십리로 83-21,37.54415475,127.0433578,
culture,보마켓 1유로코끼리점,서울 성동구 송정18길 1-1 코끼리빌라 1층 (송정동),37.55312365,127.067999,
culture,굿너컴퍼니 북촌점,서울 종로구 북촌로 56 1층 (가회동),37.58174884,126.9852355,
culture,바이인시즌,서울 서대문구 연희맛로 23 사리가쇼핑센터 1층 2호 (연희동),37.56715459,126.9296612,
culture,맥심플랜트,"서울 용산구 이태원로 250 지하1-2층, 1-3층 (한남동)",37.53698993,127.0009969,
culture,현대카드 디자인 라이브러리,서울 종로구 북촌로 31-18 1-3층 (가회동),37.57974622,126.9839891,
culture,현대카드 뮤직 라이브러리,서울 용산구 이태원로 246 (한남동),37.53663557,127.0007021,
culture,서울식물원 호수공원,서울 강서구 마곡동로 161 (마곡동),37.57224441,126.8328428,
culture,경의선숲길,서울 마포구 연남동 375,37.56198039,126.9228087,
culture,도림천,서울 관악구 신림동 808-1,37.47191671,126.9336135,
culture,용산가족공원,서울 용산구 서빙고로 137 (용산동6가),37.52470224,126.9777402,
culture,반포한강공원,서울 서초구 반포동 115-5,37.50964558,126.9951324,
culture,선유도공원,서울 영등포구 선유로 343 (당산동),37.54238323,126.9018193,
culture,서울시립 난지미술창작스튜디오,서울 마포구 하늘공원로 108-1 (상암동),37.56931804,126.8785119,
culture,하늘공원 메타세쿼이아길,서울 마포구 상암동 482-49,37.56610017,126.8831971,
culture,올림픽공원,서울 송파구 올림픽로 424 (방이동),37.5203397,127.1155179,
culture,양화한강공원,서울 영등포구 노들로 221 (당산동),37.5382248,126.902408,
culture,국립현대미술관 덕수궁,서울 중구 세종대로 99 (정동),37.56608683,126.9737258,
culture,국립현대미술관 과천,경기 과천시 광명로 313 (막계동),37.43100343,127.0199299,
culture,국립현대미술관 서울,서울 종로구 삼청로 30 (소격동),37.57874362,126.9800327,
culture,화이트큐브 서울,서울 강남구 도산대로 317 1층 (신사동),37.52269761,127.0363446,
